id	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3
1	0.0	0.6	0.4	0.2	0.4	0.4	0.4	0.2	0.3999999999999999	0.4	0.2	0.3999999999999999	0.4	0.4	0.1999999999999999	0.2	0.4	0.4	0.0	0.4	0.6	0.8	0.2	-5.551115123125783e-17	0.4	0.6	0.0	0.4	0.6	0.0	0.0	1.0	0.0	0.4	0.4	0.1999999999999999	0.6	0.0	0.4
1	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	1.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.0	0.6666666666666667	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	5.551115123125783e-17
1	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.0	1.0	0.0	0.0	0.5	0.5	1.0	0.0	0.0
1	0.0	0.0	1.0	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.0	1.0	0.0	0.5	0.5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	0.0	0.0	0.0	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1	0.0	1.0	0.0	0.0	0.5	0.5	0.5	0.0	0.5	0.25	0.5	0.25	0.25	0.75	0.0	0.5	0.5	0.0	0.0	0.25	0.75	0.75	0.0	0.25	0.25	0.75	0.0	0.5	0.25	0.25	0.0	1.0	0.0	0.5	0.25	0.25	0.5	0.0	0.5
1	0.3333333333333333	0.0	0.6666666666666667	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.0	0.6666666666666667	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.0	0.6666666666666667	0.3333333333333333	0.0	0.6666666666666667	0.0	1.0	0.0	0.6666666666666666	0.0	0.3333333333333333	0.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17
1	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.8333333333333334	0.1666666666666666	-2.7755575615628914e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.1666666666666666	0.5000000000000001	0.0	0.3333333333333333	0.6666666666666667
1	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	0.3333333333333333	0.6666666666666667	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.6666666666666666	0.0	0.3333333333333333	0.0	1.0	0.0	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.0	0.6666666666666667
1	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.5555555555555556	0.2222222222222222	0.2222222222222222	0.6666666666666666	0.1111111111111111	0.2222222222222222	0.5555555555555556	0.1111111111111111	0.3333333333333333	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.5555555555555556	0.1111111111111111	0.3333333333333333	0.3333333333333333	0.4444444444444444	0.2222222222222223	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.4444444444444444	0.2222222222222223	0.1111111111111111	0.6666666666666666	0.2222222222222222	0.6666666666666666	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.3333333333333333	0.4444444444444445
1	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334
1	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	1.0	0.0	0.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666667	0.0	0.3333333333333333	0.6666666666666667
1	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	1.0	0.0	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334
1	0.5	0.25	0.25	0.25	0.25	0.5	0.5	0.0	0.5	0.25	0.25	0.5	0.5	0.5	0.0	0.75	0.0	0.25	0.5	0.0	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.25	0.5	0.25	0.75	0.25	0.0	0.25	0.5	0.25
1	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.0	0.5	0.0	1.0	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.75	0.25	1.0	0.0	0.0	0.5	0.5	0.0
1	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.0	0.5	0.0	1.0	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.5	0.5	1.0	0.0	0.0	0.5	0.5	0.0
1	0.0	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	0.5	0.0	0.0	1.0	0.0	0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.5	0.0	0.5	0.0	0.5
1	0.25	0.75	0.0	0.75	0.0	0.25	0.75	0.0	0.25	0.5	0.5	0.0	1.0	0.0	0.0	0.5	0.5	0.0	0.0	1.0	0.0	0.75	0.25	0.0	0.0	0.75	0.25	0.5	0.5	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.5	0.25	0.25
1	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.5	0.5	0.0	1.0	0.0	0.0	0.5	0.5	0.0	0.5	0.5	0.0	1.0	0.0	0.0	0.0	0.5	0.5	1.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	1.0	0.5	0.5	0.0
1	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.0	0.5	0.0	1.0	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.0
1	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	5.551115123125783e-17	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	0.3333333333333333	0.6666666666666667	0.0	1.0	0.0	0.0	0.3333333333333333	0.6666666666666667	0.6666666666666666	0.0	0.3333333333333333	0.0	0.6666666666666666	0.3333333333333333
1	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.6666666666666666	0.3333333333333333	5.551115123125783e-17
1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	0.0	1.0	0.3333333333333333	0.6666666666666666	1.1102230246251563e-16	0.0	0.0	1.0	0.6666666666666666	0.0	0.3333333333333333	0.0	1.0	0.0
